id	district	001	003	005	007	009	011	013	015	017	019	021	023	025	027	029	031	033	035	037	039	043	045	047	049	051	053	055	057	059	061	063	065	067	069	071	073	075	077	079	081	083	085	087	089	091	093	095	097	099	101	103	105	107	109	111	113	115	117	119	121	123	125	127	129	131	133	135	137	139	141	143	145	147	149	151	153	155	157	159	161	163	165	167	169	171	173	175	177	179	181	183	185	187	189	191	193	195	197	199	201	205	207	209	211	213	215	217	219	221	223	225	227	229	231	233	235	237	239	241	243	245	247	249	251	253	255	257	259	261	263	265	267	269	271	273	275	277	279	281	283	285	287	289	291	293	295	297	299	301	303	305	307	309	311	313	315	317	319	321
1	001															1										1																																																																1																																																																						
2	002																									1																																																																																																																																						
3	003													1							1				1																																							1																																1																																																																
4	004																1					1																														1		1	1																																																																														1																											
5	005																																																																			1																																																																																												
6	006																																	1																											1																																																																																																			
7	007		1	1						1	1														1										1																																											1																																				1																																			1								1			
8	008														1																		1					1													1																																				1						1																																												1																							
9	009																																																																			1																																																																																												
10	010																																												1																															1																																																																																				
11	011																																			1								1						1																1																																			1	1																								1											1																							
12	012				1															1											1																	1																																																						1																	1		1								1	1						1																	1							
13	013																																								1					1	1																																										1																																									1								1					1														1			1
14	014								1																				1					1																																																																																																																														
15	015																										1																																																																						1		1								1																	1							1			1																										
16	016																																																								1																													1																													1												1																																	
17	017																																																																											1																																1															1																																					
18	018											1																												1																																					1																										1									1																																		1														
19	019	1																																																																															1									1		1												1																													1		1				1		1											1		1						
20	020												1																																																																1											1																													1																																											
21	021																												1																																1																																																																																																			
22	022																																																																																																																									1																																						
23	023																	1																			1																	1									1																			1	1	1											1																											1			1																									1										
24	024																																				1																1																					1																	1																			1												1										1																										1		
25	025					1						1							1																																																1													1					1																				1													1																														1												
26	026											1																																																											1						1								1																																																											1							1								1	
27	027																																																										1																																																																																																					
28	028																						1																1																						1														1																																																																			1																		
29	029																																																																								1																											1							1																																			1																		
30	030																						1																										1																																																														1																																																	
31	031																																																																							1																																							1					1																																												
32	032																																	1																											1																																																																																																			
33	033																																	1																																																																																																																														
34	034																															1																									1																																																																																																							
35	035																																																1												1																																																																																																			
36	036																																																												1																																																																																																			
37	037																																	1																																																																																																																														
38	038																																	1																											1																																																																																																			
39	039																																																												1																																																																																																			
40	040																																												1																1							1																																																																																												
41	041																																												1																							1																																																																																												
42	042																																												1																																																																																																																			
43	043																																												1																																																															1															1																																					
44	044																															1													1																																																																																																																			
45	045																																																																			1																																																																																												
46	046																													1																																																																															1																																							1												
47	047							1																						1																																																	1																			1																																																														
48	048																																																												1							1																																																																																												
49	049																																																																					1																																																																																										
50	050						1																																																					1									1	1									1																																									1								1												1																				
51	051																																										1													1			1			1																																1																			1																																1										1					
52	052								1																			1																														1							1																																																																																															
53	053																							1				1														1																																																																																																									1													
54	054																																																																1																																									1							1																																											1				
55	055																																												1																							1																																																																																												
56	056																												1																																1																																																																																																			
